charging_station_id,session_date,total_sessions,total_energy_kwh,avg_duration_minutes
Station_1,2024-01-04,1,33.07294950547435,88.17957521951871
Station_1,2024-02-03,1,74.82644569097782,83.91493267289046
Station_1,2024-02-18,1,45.36457787633022,33.84661351530226
Station_10,2024-01-01,1,23.824040473705303,50.89309606909825
Station_10,2024-01-18,1,27.04710323077237,66.57826339711488
Station_10,2024-01-20,1,72.54995630814713,21.595034455656343
Station_10,2024-02-01,1,47.19807479360746,171.68297673148908
Station_10,2024-02-08,1,16.376371083048106,51.83906976580048
Station_10,2024-02-16,1,67.45812734205117,52.39756462223503
Station_100,2024-01-15,1,71.91146876524706,173.19331813432103
Station_100,2024-02-13,1,10.039817806428031,78.17651815926733
Station_101,2024-01-07,1,40.24838259933458,218.12939397179144
Station_101,2024-01-08,1,65.83154346501938,222.33703329470765
Station_101,2024-01-31,1,6.0651617128073525,215.86593113401915
Station_103,2024-01-04,1,7.930901450146639,140.5437471317074
Station_103,2024-01-31,1,26.493008140946493,127.0322487365154
Station_103,2024-02-16,1,25.08836904191854,206.8428106471478
Station_104,2024-01-26,1,42.91893733882982,189.9237250959829
Station_104,2024-01-29,1,64.450811584597,239.93062505583708
Station_105,2024-01-04,1,79.81869447094793,156.38877774973886
Station_105,2024-01-31,1,16.827771594461893,164.32901664977362
Station_105,2024-02-02,1,13.587964735173609,211.02391419224
Station_106,2024-01-17,1,48.27254828512783,218.97469931994192
Station_106,2024-01-18,1,64.98220570964298,224.08552007114463
Station_106,2024-01-31,1,55.30273056094204,152.67396356797033
Station_106,2024-02-19,1,9.51652733339272,76.70220145752677
Station_107,2024-01-09,1,63.85425613845187,233.2380518160316
Station_107,2024-01-16,1,24.59962969556764,120.47165206529642
Station_107,2024-02-23,1,8.315805795177543,43.686119138413474
Station_108,2024-01-01,1,19.62910416772725,121.18590519536768
Station_108,2024-01-09,1,70.99471727287802,46.58150985505929
Station_108,2024-01-13,1,23.99396127242872,196.1725266146285
Station_108,2024-01-26,1,66.70523645325736,113.71321031756224
Station_108,2024-01-29,1,78.98357945200523,174.2442875265387
Station_108,2024-02-09,1,72.08924276832295,149.7698095022621
Station_108,2024-02-19,1,5.755524649492359,137.42680126905557
Station_108,2024-02-22,1,60.83110355266755,214.45136220910945
Station_109,2024-01-03,1,9.06588081544948,30.742690977677167
Station_109,2024-02-12,1,10.43167346455136,198.78974592490076
Station_109,2024-02-16,1,13.650698039870646,87.61295109262491
Station_11,2024-01-16,1,52.90446366869147,92.81736208256132
Station_11,2024-01-28,1,69.42235104080157,116.24201213936708
Station_110,2024-01-22,1,9.716946683936513,142.08581596330967
Station_110,2024-01-24,1,52.55689588098792,62.33747795826593
Station_112,2024-01-20,1,21.030519654584147,170.6650011514206
Station_112,2024-01-26,1,45.11780647869832,237.1622842652348
Station_114,2024-01-06,1,36.616568616352566,201.4808788054487
Station_114,2024-02-05,1,37.05562159282365,101.0023783201271
Station_115,2024-01-05,1,65.89318362199285,188.77503814656995
Station_116,2024-02-02,1,43.254517140810776,192.64586233461864
Station_117,2024-01-07,1,74.94807969154884,121.15370485150208
Station_117,2024-01-08,1,127.75747441174424,59.07295323776347
Station_117,2024-02-07,1,50.92256838738107,164.70390417848907
Station_118,2024-01-11,1,22.22767365216008,202.92466971981048
Station_118,2024-01-12,1,47.08633600039671,198.64986093493343
Station_118,2024-02-12,1,37.70311871847127,164.08036248878022
Station_119,2024-01-03,1,76.93342189972203,127.40521201951096
Station_119,2024-01-17,2,107.77585698456785,174.21795807241025
Station_119,2024-02-20,1,18.120951026827235,204.34879659417584
Station_12,2024-01-15,1,48.32460775397477,138.6982002566933
Station_12,2024-01-19,1,42.46618717006869,83.01397911807051
Station_12,2024-01-30,1,47.88862466678341,253.698344272452
Station_120,2024-01-07,1,65.04979561439833,206.2092147169421
Station_120,2024-01-21,1,67.45124177150385,50.97612677949741
Station_120,2024-02-10,1,65.93421330641783,198.20703238179456
Station_120,2024-02-24,1,39.73385254628378,74.95777744555878
Station_121,2024-01-12,1,51.62169093377357,78.21333486742843
Station_121,2024-01-18,1,65.75133335346975,52.574713792980106
Station_121,2024-02-02,1,54.48656320200461,96.5729192416894
Station_122,2024-01-18,1,30.184684241437047,178.28567848329
Station_122,2024-02-19,1,72.27855411576432,65.72126169951568
Station_123,2024-01-15,1,68.74906948767578,33.278230674123144
Station_123,2024-01-29,1,74.34970162186968,133.7171839633121
Station_124,2024-01-19,1,21.097847217832147,208.0837474720477
Station_124,2024-02-05,1,44.76974192287614,38.44172516415408
Station_125,2024-01-01,1,48.48248430757049,154.8555212404594
Station_125,2024-01-19,1,21.580915527008145,75.93142124334639
Station_126,2024-01-05,1,46.77551047348464,187.11050651165965
Station_127,2024-01-06,1,35.55367093393553,212.20524691152
Station_127,2024-01-27,1,45.07891731764474,144.05484409142431
Station_127,2024-01-28,1,59.15730847009105,172.01022891302327
Station_127,2024-02-10,1,54.31762293384593,220.72317978563296
Station_127,2024-02-11,1,28.215649389656605,144.4084154379552
Station_128,2024-02-08,1,9.889982502961283,96.82690033984234
Station_128,2024-02-24,1,63.65257024136892,224.4582221231696
Station_129,2024-01-02,1,31.68448458657448,146.38067628923363
Station_129,2024-01-11,1,49.62151165856079,223.8893072976604
Station_129,2024-01-21,1,41.95057477332522,61.25992882948746
Station_129,2024-02-15,1,36.46547333950338,72.54995201630851
Station_129,2024-02-16,1,24.775659394661684,52.68531706521224
Station_13,2024-01-06,1,33.88719708294054,217.5362911980533
Station_13,2024-01-25,1,73.31591786048328,173.8194406275723
Station_13,2024-01-26,1,55.39579143864877,135.18163774878653
Station_13,2024-02-24,2,89.96841986176076,149.41656794535902
Station_130,2024-01-03,1,77.86372676031044,55.074134836025856
Station_130,2024-01-06,1,15.660564019843829,188.43900975046975
Station_130,2024-01-07,1,10.2776080929522,141.69710110841095
Station_130,2024-01-14,1,57.819430587681474,130.22830283197942
Station_130,2024-01-19,1,53.83827205577136,56.8915790843449
Station_131,2024-01-10,1,49.186728304534114,114.753788860681
Station_131,2024-01-11,1,29.582840438091417,192.2323071865926
Station_132,2024-01-09,1,13.485195325551771,159.92210890446165
Station_132,2024-01-18,1,42.86561113214803,131.61088356103028
Station_132,2024-02-03,1,9.086246707562893,120.60344838468215
